TIMESTAMPms	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
3135	9.860000000000000e+2	1.133900000000000e+4
4740	9.640000000000000e+2	1.127200000000000e+4
6345	9.620000000000000e+2	1.121200000000000e+4
7979	9.880000000000000e+2	1.125700000000000e+4
9590	9.770000000000000e+2	1.132000000000000e+4
11214	9.660000000000000e+2	1.127500000000000e+4
12831	9.700000000000000e+2	1.122200000000000e+4
14446	9.730000000000000e+2	1.127100000000000e+4
16071	9.780000000000000e+2	1.130700000000000e+4
17700	9.620000000000000e+2	1.126400000000000e+4
19309	9.560000000000000e+2	1.122200000000000e+4
20917	9.740000000000000e+2	1.127500000000000e+4
22543	9.800000000000000e+2	1.130800000000000e+4
24160	9.720000000000000e+2	1.131000000000000e+4
25768	9.740000000000000e+2	1.131900000000000e+4
27274	9.630000000000000e+2	1.127500000000000e+4
28874	9.550000000000000e+2	1.121000000000000e+4
30492	9.630000000000000e+2	1.125500000000000e+4
32114	9.780000000000000e+2	1.129500000000000e+4
33745	9.650000000000000e+2	1.127800000000000e+4
35369	9.730000000000000e+2	1.129900000000000e+4
36987	9.760000000000000e+2	1.133200000000000e+4
38601	9.710000000000000e+2	1.132100000000000e+4
40216	9.690000000000000e+2	1.133600000000000e+4
41834	9.620000000000000e+2	1.128200000000000e+4
43458	9.790000000000000e+2	1.130000000000000e+4
45074	9.730000000000000e+2	1.132800000000000e+4
46687	9.710000000000000e+2	1.133400000000000e+4
48187	9.840000000000000e+2	1.134800000000000e+4
49814	9.600000000000000e+2	1.127600000000000e+4
51416	9.700000000000000e+2	1.130500000000000e+4
53038	9.740000000000000e+2	1.133400000000000e+4
54648	9.650000000000000e+2	1.132000000000000e+4
