TIMESTAMPms	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
1999	5.800000000000000e+2	1.568600000000000e+4
2999	5.610000000000000e+2	1.566500000000000e+4
3998	5.550000000000000e+2	1.566900000000000e+4
5001	5.480000000000000e+2	1.561700000000000e+4
5998	5.580000000000000e+2	1.559800000000000e+4
7000	5.680000000000000e+2	1.562100000000000e+4
7998	5.600000000000000e+2	1.561300000000000e+4
9000	5.690000000000000e+2	1.563300000000000e+4
10001	5.660000000000000e+2	1.563900000000000e+4
10999	5.550000000000000e+2	1.557700000000000e+4
12001	5.520000000000000e+2	1.555400000000000e+4
12998	5.540000000000000e+2	1.558500000000000e+4
13999	5.650000000000000e+2	1.561000000000000e+4
14998	5.570000000000000e+2	1.560400000000000e+4
16002	5.440000000000000e+2	1.556000000000000e+4
17000	5.520000000000000e+2	1.558800000000000e+4
17999	5.510000000000000e+2	1.560400000000000e+4
19000	5.570000000000000e+2	1.560000000000000e+4
20001	5.650000000000000e+2	1.561300000000000e+4
20999	5.600000000000000e+2	1.555500000000000e+4
22000	5.560000000000000e+2	1.558900000000000e+4
22999	5.530000000000000e+2	1.559700000000000e+4
23999	5.560000000000000e+2	1.559800000000000e+4
24998	5.540000000000000e+2	1.560200000000000e+4
25999	5.590000000000000e+2	1.560300000000000e+4
26998	5.540000000000000e+2	1.558900000000000e+4
27999	5.610000000000000e+2	1.560700000000000e+4
28999	5.520000000000000e+2	1.558700000000000e+4
29999	5.540000000000000e+2	1.559100000000000e+4
30999	5.550000000000000e+2	1.555900000000000e+4
31998	5.510000000000000e+2	1.556000000000000e+4
32999	5.590000000000000e+2	1.557300000000000e+4
34000	5.510000000000000e+2	1.557500000000000e+4
34997	5.510000000000000e+2	1.557300000000000e+4
35999	5.440000000000000e+2	1.553700000000000e+4
37001	5.370000000000000e+2	1.551000000000000e+4
38000	5.560000000000000e+2	1.557000000000000e+4
38999	5.470000000000000e+2	1.556800000000000e+4
39999	5.530000000000000e+2	1.557200000000000e+4
40999	5.390000000000000e+2	1.551600000000000e+4
41999	5.500000000000000e+2	1.554100000000000e+4
43000	5.560000000000000e+2	1.555200000000000e+4
43999	5.590000000000000e+2	1.556800000000000e+4
44999	5.630000000000000e+2	1.556500000000000e+4
45999	5.490000000000000e+2	1.551100000000000e+4
46999	5.630000000000000e+2	1.551800000000000e+4
48000	5.450000000000000e+2	1.553400000000000e+4
48999	5.540000000000000e+2	1.554800000000000e+4
49999	5.600000000000000e+2	1.554300000000000e+4
51001	5.420000000000000e+2	1.550000000000000e+4
52002	5.560000000000000e+2	1.550500000000000e+4
53003	5.480000000000000e+2	1.553900000000000e+4
