TIMESTAMPms	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
3235	1.122000000000000e+3	1.131300000000000e+4
4853	1.121000000000000e+3	1.131400000000000e+4
6465	1.121000000000000e+3	1.131600000000000e+4
8080	1.114000000000000e+3	1.130000000000000e+4
9593	1.117000000000000e+3	1.130500000000000e+4
11194	1.125000000000000e+3	1.130700000000000e+4
12822	1.136000000000000e+3	1.131000000000000e+4
14436	1.123000000000000e+3	1.128900000000000e+4
16064	1.117000000000000e+3	1.130700000000000e+4
17679	1.131000000000000e+3	1.130600000000000e+4
19301	1.129000000000000e+3	1.131000000000000e+4
20916	1.114000000000000e+3	1.131800000000000e+4
22538	1.092000000000000e+3	1.124800000000000e+4
24162	1.104000000000000e+3	1.129800000000000e+4
25763	1.120000000000000e+3	1.130500000000000e+4
27390	1.103000000000000e+3	1.124600000000000e+4
29004	1.115000000000000e+3	1.129100000000000e+4
30606	1.120000000000000e+3	1.130800000000000e+4
32238	1.114000000000000e+3	1.129200000000000e+4
33847	1.122000000000000e+3	1.129700000000000e+4
35471	1.105000000000000e+3	1.128300000000000e+4
36954	1.114000000000000e+3	1.130000000000000e+4
38571	1.095000000000000e+3	1.130400000000000e+4
40206	1.093000000000000e+3	1.127600000000000e+4
41825	1.108000000000000e+3	1.130300000000000e+4
43459	1.105000000000000e+3	1.126500000000000e+4
45068	1.095000000000000e+3	1.129800000000000e+4
46683	1.100000000000000e+3	1.130600000000000e+4
48301	1.115000000000000e+3	1.130100000000000e+4
49919	1.119000000000000e+3	1.126700000000000e+4
51534	1.112000000000000e+3	1.128500000000000e+4
