TIMESTAMPms	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
3247	1.518000000000000e+3	1.435800000000000e+4
4867	1.503000000000000e+3	1.433500000000000e+4
6483	1.519000000000000e+3	1.435100000000000e+4
8101	1.519000000000000e+3	1.435200000000000e+4
9716	1.519000000000000e+3	1.435200000000000e+4
11338	1.505000000000000e+3	1.428900000000000e+4
12951	1.493000000000000e+3	1.432200000000000e+4
14576	1.501000000000000e+3	1.432600000000000e+4
16194	1.493000000000000e+3	1.431700000000000e+4
17700	1.488000000000000e+3	1.432400000000000e+4
19311	1.486000000000000e+3	1.427900000000000e+4
20913	1.492000000000000e+3	1.425200000000000e+4
22533	1.511000000000000e+3	1.427900000000000e+4
24159	1.493000000000000e+3	1.428000000000000e+4
25783	1.492000000000000e+3	1.429900000000000e+4
27411	1.498000000000000e+3	1.430300000000000e+4
29018	1.505000000000000e+3	1.422500000000000e+4
30644	1.490000000000000e+3	1.428500000000000e+4
32254	1.499000000000000e+3	1.430700000000000e+4
33870	1.501000000000000e+3	1.422000000000000e+4
35489	1.505000000000000e+3	1.425600000000000e+4
37106	1.479000000000000e+3	1.427800000000000e+4
38723	1.486000000000000e+3	1.428600000000000e+4
40354	1.464000000000000e+3	1.429100000000000e+4
41961	1.481000000000000e+3	1.426600000000000e+4
43448	1.492000000000000e+3	1.427400000000000e+4
45072	1.474000000000000e+3	1.427500000000000e+4
46681	1.489000000000000e+3	1.425400000000000e+4
48301	1.490000000000000e+3	1.427600000000000e+4
