TIMESTAMPms	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
3236	0.000000000000000e+0	1.154100000000000e+4
4848	0.000000000000000e+0	1.154300000000000e+4
6463	0.000000000000000e+0	1.154000000000000e+4
8096	0.000000000000000e+0	1.155000000000000e+4
9715	0.000000000000000e+0	1.154800000000000e+4
11321	0.000000000000000e+0	1.155400000000000e+4
12821	0.000000000000000e+0	1.154100000000000e+4
14435	0.000000000000000e+0	1.152900000000000e+4
16173	7.720000000000000e+2	1.141600000000000e+4
17720	9.580000000000000e+2	1.131500000000000e+4
19304	9.750000000000000e+2	1.127400000000000e+4
20910	1.004000000000000e+3	1.131100000000000e+4
22528	1.013000000000000e+3	1.127300000000000e+4
24148	1.023000000000000e+3	1.129400000000000e+4
25769	1.007000000000000e+3	1.130900000000000e+4
27384	1.009000000000000e+3	1.130700000000000e+4
29001	1.034000000000000e+3	1.129100000000000e+4
30618	1.024000000000000e+3	1.130100000000000e+4
32236	1.025000000000000e+3	1.125500000000000e+4
33853	1.046000000000000e+3	1.128800000000000e+4
35472	1.033000000000000e+3	1.128800000000000e+4
36986	1.055000000000000e+3	1.130400000000000e+4
38588	1.056000000000000e+3	1.127300000000000e+4
40323	1.039000000000000e+3	1.129500000000000e+4
41838	1.052000000000000e+3	1.129500000000000e+4
43421	1.061000000000000e+3	1.121100000000000e+4
45047	1.075000000000000e+3	1.126100000000000e+4
46684	1.052000000000000e+3	1.128900000000000e+4
48298	1.058000000000000e+3	1.123400000000000e+4
49914	1.046000000000000e+3	1.127400000000000e+4
51532	1.019000000000000e+3	1.130500000000000e+4
53154	1.048000000000000e+3	1.128600000000000e+4
54769	1.068000000000000e+3	1.130100000000000e+4
56392	1.035000000000000e+3	1.129400000000000e+4
58014	1.052000000000000e+3	1.125900000000000e+4
59625	1.078000000000000e+3	1.129900000000000e+4
61138	1.084000000000000e+3	1.130300000000000e+4
62861	1.055000000000000e+3	1.125900000000000e+4
64361	1.050000000000000e+3	1.128400000000000e+4
65969	1.042000000000000e+3	1.129100000000000e+4
67621	1.028000000000000e+3	1.126500000000000e+4
69216	1.035000000000000e+3	1.130000000000000e+4
70856	1.029000000000000e+3	1.125700000000000e+4
72452	1.062000000000000e+3	1.128500000000000e+4
74070	1.058000000000000e+3	1.128900000000000e+4
75695	1.040000000000000e+3	1.130200000000000e+4
77302	1.053000000000000e+3	1.131900000000000e+4
78920	1.048000000000000e+3	1.125200000000000e+4
80538	1.044000000000000e+3	1.129200000000000e+4
82159	1.061000000000000e+3	1.127700000000000e+4
83691	1.061000000000000e+3	1.130000000000000e+4
85272	1.029000000000000e+3	1.129700000000000e+4
86891	1.044000000000000e+3	1.130700000000000e+4
88497	1.057000000000000e+3	1.129100000000000e+4
90120	1.059000000000000e+3	1.126800000000000e+4
91733	1.053000000000000e+3	1.128700000000000e+4
93361	1.044000000000000e+3	1.123800000000000e+4
94976	1.065000000000000e+3	1.128900000000000e+4
96607	1.053000000000000e+3	1.129400000000000e+4
98220	1.070000000000000e+3	1.123000000000000e+4
99835	1.087000000000000e+3	1.128800000000000e+4
101459	1.046000000000000e+3	1.130300000000000e+4
103100	1.032000000000000e+3	1.128900000000000e+4
104692	1.033000000000000e+3	1.129400000000000e+4
106304	1.032000000000000e+3	1.129200000000000e+4
107924	1.040000000000000e+3	1.130800000000000e+4
109430	1.036000000000000e+3	1.129700000000000e+4
111050	1.022000000000000e+3	1.130700000000000e+4
112691	1.040000000000000e+3	1.129100000000000e+4
114292	1.062000000000000e+3	1.130800000000000e+4
115888	1.033000000000000e+3	1.129500000000000e+4
117519	1.033000000000000e+3	1.129500000000000e+4
119143	1.046000000000000e+3	1.125500000000000e+4
120752	1.056000000000000e+3	1.129600000000000e+4
122366	1.047000000000000e+3	1.129700000000000e+4
123988	1.036000000000000e+3	1.131500000000000e+4
125618	1.047000000000000e+3	1.130400000000000e+4
127223	1.047000000000000e+3	1.130200000000000e+4
128855	1.033000000000000e+3	1.121400000000000e+4
130457	1.022000000000000e+3	1.128900000000000e+4
132074	1.051000000000000e+3	1.130500000000000e+4
133604	1.054000000000000e+3	1.128100000000000e+4
135204	1.035000000000000e+3	1.130700000000000e+4
136797	1.032000000000000e+3	1.129800000000000e+4
138416	1.038000000000000e+3	1.131500000000000e+4
140038	1.066000000000000e+3	1.129700000000000e+4
141661	1.065000000000000e+3	1.130600000000000e+4
143284	1.060000000000000e+3	1.129500000000000e+4
144903	1.041000000000000e+3	1.127500000000000e+4
146526	1.052000000000000e+3	1.130000000000000e+4
148145	1.042000000000000e+3	1.130900000000000e+4
149760	1.037000000000000e+3	1.131000000000000e+4
151372	1.035000000000000e+3	1.129600000000000e+4
152995	1.022000000000000e+3	1.131300000000000e+4
154617	1.024000000000000e+3	1.128400000000000e+4
156121	1.016000000000000e+3	1.130700000000000e+4
157845	1.003000000000000e+3	1.129900000000000e+4
159352	1.037000000000000e+3	1.129700000000000e+4
160968	1.020000000000000e+3	1.131000000000000e+4
162596	1.028000000000000e+3	1.131100000000000e+4
164190	1.047000000000000e+3	1.130100000000000e+4
165819	1.029000000000000e+3	1.130300000000000e+4
167437	1.040000000000000e+3	1.130300000000000e+4
169055	1.046000000000000e+3	1.128200000000000e+4
170689	1.026000000000000e+3	1.130700000000000e+4
172293	1.017000000000000e+3	1.131600000000000e+4
173922	1.032000000000000e+3	1.130800000000000e+4
175526	1.027000000000000e+3	1.130900000000000e+4
177145	1.012000000000000e+3	1.131300000000000e+4
178758	1.034000000000000e+3	1.130600000000000e+4
180273	1.012000000000000e+3	1.131100000000000e+4
182000	1.013000000000000e+3	1.130900000000000e+4
183508	1.004000000000000e+3	1.129800000000000e+4
185119	1.025000000000000e+3	1.130700000000000e+4
186745	1.033000000000000e+3	1.130200000000000e+4
188346	1.055000000000000e+3	1.123900000000000e+4
189963	1.077000000000000e+3	1.125800000000000e+4
191611	1.052000000000000e+3	1.129700000000000e+4
193206	1.042000000000000e+3	1.128600000000000e+4
194823	1.052000000000000e+3	1.130400000000000e+4
196445	1.032000000000000e+3	1.128600000000000e+4
198064	1.015000000000000e+3	1.129500000000000e+4
199678	1.023000000000000e+3	1.129600000000000e+4
201301	1.028000000000000e+3	1.131000000000000e+4
202917	1.027000000000000e+3	1.130000000000000e+4
204418	1.019000000000000e+3	1.131100000000000e+4
206039	1.007000000000000e+3	1.131000000000000e+4
207782	1.033000000000000e+3	1.131800000000000e+4
209297	1.039000000000000e+3	1.131800000000000e+4
210882	1.055000000000000e+3	1.129000000000000e+4
212503	1.045000000000000e+3	1.130400000000000e+4
214123	1.029000000000000e+3	1.123700000000000e+4
215747	1.047000000000000e+3	1.128500000000000e+4
217361	1.030000000000000e+3	1.131300000000000e+4
218979	1.042000000000000e+3	1.129800000000000e+4
220597	1.036000000000000e+3	1.131200000000000e+4
222212	1.035000000000000e+3	1.129700000000000e+4
223830	1.038000000000000e+3	1.131400000000000e+4
225450	1.047000000000000e+3	1.130300000000000e+4
227068	1.041000000000000e+3	1.130900000000000e+4
228563	1.020000000000000e+3	1.123700000000000e+4
230185	1.011000000000000e+3	1.128900000000000e+4
231919	1.016000000000000e+3	1.131600000000000e+4
233403	6.180000000000000e+2	1.125400000000000e+4
235034	4.100000000000000e+1	1.141300000000000e+4
