TIMESTAMPms	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
3243	0.000000000000000e+0	1.145800000000000e+4
4859	0.000000000000000e+0	1.141600000000000e+4
6471	2.170000000000000e+2	1.138800000000000e+4
8090	8.520000000000000e+2	1.128000000000000e+4
9707	8.700000000000000e+2	1.124200000000000e+4
11226	8.680000000000000e+2	1.123400000000000e+4
12827	8.700000000000000e+2	1.123600000000000e+4
14448	8.670000000000000e+2	1.122600000000000e+4
16065	8.650000000000000e+2	1.123000000000000e+4
17699	8.640000000000000e+2	1.122300000000000e+4
19299	8.660000000000000e+2	1.121600000000000e+4
20916	8.650000000000000e+2	1.122200000000000e+4
22536	8.640000000000000e+2	1.121900000000000e+4
24146	8.580000000000000e+2	1.123000000000000e+4
25776	8.530000000000000e+2	1.123000000000000e+4
27389	8.460000000000000e+2	1.122500000000000e+4
29006	8.370000000000000e+2	1.122500000000000e+4
30624	8.380000000000000e+2	1.123700000000000e+4
32359	8.450000000000000e+2	1.123000000000000e+4
33755	8.460000000000000e+2	1.121600000000000e+4
35371	8.490000000000000e+2	1.122400000000000e+4
36983	8.500000000000000e+2	1.123500000000000e+4
38618	8.390000000000000e+2	1.122300000000000e+4
40332	8.440000000000000e+2	1.123600000000000e+4
41838	8.410000000000000e+2	1.123300000000000e+4
43471	8.420000000000000e+2	1.122800000000000e+4
45097	8.410000000000000e+2	1.123800000000000e+4
46683	8.480000000000000e+2	1.123500000000000e+4
48302	8.480000000000000e+2	1.122400000000000e+4
49920	8.520000000000000e+2	1.122800000000000e+4
51540	8.520000000000000e+2	1.122600000000000e+4
53153	8.610000000000000e+2	1.123000000000000e+4
54769	8.500000000000000e+2	1.122600000000000e+4
