TIMESTAMPms	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
3226	5.880000000000000e+2	1.139800000000000e+4
4848	6.040000000000000e+2	1.146700000000000e+4
6461	6.040000000000000e+2	1.147900000000000e+4
8079	6.070000000000000e+2	1.148600000000000e+4
9698	5.970000000000000e+2	1.142700000000000e+4
11310	5.980000000000000e+2	1.141700000000000e+4
12929	6.010000000000000e+2	1.145900000000000e+4
14564	5.980000000000000e+2	1.145800000000000e+4
16172	5.890000000000000e+2	1.140000000000000e+4
17786	5.940000000000000e+2	1.138200000000000e+4
19269	5.930000000000000e+2	1.137000000000000e+4
20892	6.040000000000000e+2	1.142600000000000e+4
22514	6.020000000000000e+2	1.146100000000000e+4
24127	5.970000000000000e+2	1.143700000000000e+4
25746	6.120000000000000e+2	1.144400000000000e+4
27375	6.070000000000000e+2	1.148600000000000e+4
28991	5.980000000000000e+2	1.142300000000000e+4
30638	6.160000000000000e+2	1.145700000000000e+4
32227	6.030000000000000e+2	1.147500000000000e+4
33847	5.970000000000000e+2	1.141500000000000e+4
35462	6.170000000000000e+2	1.146700000000000e+4
37079	6.050000000000000e+2	1.148200000000000e+4
38699	5.950000000000000e+2	1.141100000000000e+4
40316	6.060000000000000e+2	1.140300000000000e+4
