TIMESTAMPms	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
1314	1.340000000000000e+2	1.156600000000000e+4
2314	1.320000000000000e+2	1.154300000000000e+4
3313	1.330000000000000e+2	1.154100000000000e+4
4313	1.320000000000000e+2	1.153100000000000e+4
5312	1.320000000000000e+2	1.151600000000000e+4
6315	1.360000000000000e+2	1.152400000000000e+4
7315	1.380000000000000e+2	1.152000000000000e+4
8313	1.320000000000000e+2	1.152000000000000e+4
9312	1.330000000000000e+2	1.152600000000000e+4
10312	1.290000000000000e+2	1.151000000000000e+4
11315	1.310000000000000e+2	1.152400000000000e+4
12314	1.370000000000000e+2	1.153900000000000e+4
13313	1.300000000000000e+2	1.153000000000000e+4
14313	1.300000000000000e+2	1.147400000000000e+4
15315	1.270000000000000e+2	1.146000000000000e+4
16313	1.280000000000000e+2	1.150800000000000e+4
17317	1.340000000000000e+2	1.152600000000000e+4
18313	1.330000000000000e+2	1.152500000000000e+4
19313	1.390000000000000e+2	1.153800000000000e+4
20312	1.250000000000000e+2	1.148900000000000e+4
21315	1.220000000000000e+2	1.145400000000000e+4
22313	1.340000000000000e+2	1.150800000000000e+4
23314	1.330000000000000e+2	1.152300000000000e+4
24313	1.300000000000000e+2	1.152000000000000e+4
25312	1.270000000000000e+2	1.149200000000000e+4
26314	1.350000000000000e+2	1.149200000000000e+4
27313	1.360000000000000e+2	1.152200000000000e+4
28313	1.320000000000000e+2	1.152500000000000e+4
29312	1.350000000000000e+2	1.153400000000000e+4
30312	1.260000000000000e+2	1.151000000000000e+4
31312	1.310000000000000e+2	1.151600000000000e+4
32314	1.300000000000000e+2	1.151500000000000e+4
33315	1.390000000000000e+2	1.153900000000000e+4
34313	1.310000000000000e+2	1.152600000000000e+4
35312	1.250000000000000e+2	1.150000000000000e+4
36313	1.330000000000000e+2	1.152400000000000e+4
37313	1.300000000000000e+2	1.152100000000000e+4
38313	1.350000000000000e+2	1.152900000000000e+4
39313	1.230000000000000e+2	1.146400000000000e+4
40312	1.250000000000000e+2	1.144700000000000e+4
