TIMESTAMPms	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
3229	2.060000000000000e+2	1.512500000000000e+4
4847	2.090000000000000e+2	1.508000000000000e+4
6456	2.010000000000000e+2	1.512600000000000e+4
8078	2.010000000000000e+2	1.510400000000000e+4
9694	2.080000000000000e+2	1.509300000000000e+4
11312	2.050000000000000e+2	1.512700000000000e+4
12929	2.060000000000000e+2	1.511600000000000e+4
14549	2.120000000000000e+2	1.512000000000000e+4
16161	2.020000000000000e+2	1.512800000000000e+4
17687	2.080000000000000e+2	1.514300000000000e+4
19266	2.010000000000000e+2	1.506200000000000e+4
20899	2.010000000000000e+2	1.509400000000000e+4
22509	2.060000000000000e+2	1.512000000000000e+4
24139	2.060000000000000e+2	1.510000000000000e+4
25765	2.040000000000000e+2	1.511500000000000e+4
27367	1.970000000000000e+2	1.510100000000000e+4
28994	2.080000000000000e+2	1.511300000000000e+4
30611	1.970000000000000e+2	1.511400000000000e+4
32230	1.960000000000000e+2	1.506100000000000e+4
33867	2.110000000000000e+2	1.511200000000000e+4
35463	1.980000000000000e+2	1.509000000000000e+4
36998	2.100000000000000e+2	1.513600000000000e+4
