TIMESTAMPms	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
3235	1.521000000000000e+3	1.434400000000000e+4
4852	1.522000000000000e+3	1.432500000000000e+4
6468	1.499000000000000e+3	1.426500000000000e+4
8092	1.502000000000000e+3	1.429700000000000e+4
9704	1.509000000000000e+3	1.431400000000000e+4
11208	1.485000000000000e+3	1.430100000000000e+4
12821	1.508000000000000e+3	1.429700000000000e+4
14440	1.507000000000000e+3	1.427900000000000e+4
16043	1.487000000000000e+3	1.428400000000000e+4
17678	1.470000000000000e+3	1.422900000000000e+4
19302	1.508000000000000e+3	1.426500000000000e+4
20916	1.483000000000000e+3	1.428500000000000e+4
22541	1.491000000000000e+3	1.428300000000000e+4
24152	1.498000000000000e+3	1.428200000000000e+4
25769	1.484000000000000e+3	1.428100000000000e+4
27398	1.475000000000000e+3	1.426300000000000e+4
29007	1.505000000000000e+3	1.426200000000000e+4
30620	1.466000000000000e+3	1.425800000000000e+4
32239	1.460000000000000e+3	1.425900000000000e+4
33862	1.470000000000000e+3	1.425400000000000e+4
35479	1.490000000000000e+3	1.427200000000000e+4
36971	1.478000000000000e+3	1.424200000000000e+4
38708	1.477000000000000e+3	1.426400000000000e+4
40204	1.468000000000000e+3	1.423300000000000e+4
41803	1.472000000000000e+3	1.424100000000000e+4
